2026-08-27T10:13:19.969Z	тест	ОТКЛОНЕНО	В ответе нет обязательной строки. Последней строкой напиши: `НЕ НАЙДЕНО: <какой конкретно факт ты искал в материале и не
2026-08-27T10:13:19.991Z	тест	ОТКЛОНЕНО	Заявление «ничего не осталось невыясненным» ничего не называет. Обязанность требует назвать конкретный факт, которого в 
2026-08-27T10:13:20.012Z	тест	ОТКЛОНЕНО	Заявлено, что «статус проекта альфа» не найдено, но всё названное присутствует в прочитанном материале. Значит это найде
2026-08-27T10:13:20.034Z	тест	ПРИНЯТО	отсутствуют в материале: бюджет, ответственный
2026-08-27T16:36:30.238Z	svodchik-ПРОВЕРКА-1	svodchik	границаМатериала	ПРИНЯТО	отсутствуют в материале: бюджет
2026-08-27T17:36:48.506Z	vydelitel-call_61g5sstk	vydelitel	цитатаИзМатериала	ОТКЛОНЕНО	Этих выдержек в материале нет дословно: «американский треккер, видимо, был не в состоянии понять, что эта смуг
2026-08-27T17:39:05.940Z	vydelitel-call_61g5sstk	vydelitel	цитатаИзМатериала	ОТКЛОНЕНО	Этих выдержек в материале нет дословно: «был не в состоянии понять, что эта смуглая жительница гор обратилась 
2026-08-27T17:39:42.430Z	vydelitel-call_61g5sstk	vydelitel	цитатаИзМатериала	ОТКЛОНЕНО	Этих выдержек в материале нет дословно: «был не в состоянии понять, что эта смуглая жительница гор обратилась 
2026-08-27T17:40:26.504Z	vydelitel-call_61g5sstk	vydelitel	цитатаИзМатериала	ПРИНЯТО	цитат подтверждено: 1
2026-08-27T17:42:40.956Z	ПРОВЕРКА-переноса	vydelitel	цитатаИзМатериала	ПРИНЯТО	цитат подтверждено: 1
2026-08-27T17:42:58.155Z	ПРОВЕРКА-подделки	vydelitel	цитатаИзМатериала	ОТКЛОНЕНО	Этих выдержек в материале нет дословно: «американский треккер совершенно не понимал обращённую к нему речь гор
2026-08-27T17:44:06.949Z	vydelitel-call_bf1vurko	vydelitel	цитатаИзМатериала	ОТКЛОНЕНО	Этих выдержек в материале нет дословно: «В обязанности клиентов не входило перетаскивание грузов в расположенн
2026-08-27T17:45:32.307Z	vydelitel-call_bf1vurko	vydelitel	цитатаИзМатериала	ПРИНЯТО	цитат подтверждено: 1
2026-08-27T17:59:23.610Z	svodchik-call_asyo7y27	svodchik	границаМатериала	ОТКЛОНЕНО	В ответе нет обязательной строки. Последней строкой напиши: `НЕ НАЙДЕНО: <какой конкретно факт ты искал в мате
2026-08-27T18:01:47.618Z	svodchik-call_asyo7y27	svodchik	границаМатериала	ПРИНЯТО	отсутствуют в материале: конкретной, использованной, тестах
2026-08-28T10:52:18.773Z	ПРОВЕРКА-нет-журнала	svodchik	границаМатериала	ПРИНЯТО	отсутствуют в материале: статус, проекта	СЛЕД-НЕ-ЛЁГ
